Track Name,Artist Name(s),Album Name,Album Artist Name(s),Album Release Date,Track Duration (ms),Explicit,Popularity,Artist Genres,Danceability,Energy,Loudness,Speechiness,Acousticness
Fader,The Temper Trap,Conditions (Tour Edition),The Temper Trap,2009,192373,FALSE,0,"indietronica,modern rock,shimmer pop",0.532,0.76,-7.123,0.0353,0.000101
Sherry,Frankie Valli & The Four Seasons,The Very Best of Frankie Valli & The 4 Seasons,Frankie Valli & The Four Seasons,14/01/2003,152160,FALSE,54,"adult standards,bubblegum pop,doo-wop,lounge,northern soul,rock-and-roll,rockabilly",0.703,0.478,-8.062,0.0441,0.626
I Took A Pill In Ibiza - Seeb Remix,"Mike Posner, Seeb","At Night, Alone.",Mike Posner,06/05/2016,197933,TRUE,63,"dance pop,pop,pop dance,pop rap,pop dance",0.664,0.714,-6.645,0.111,0.0353
Let Go for Tonight,Foxes,Glorious (Deluxe),Foxes,12/05/2014,238413,FALSE,39,"electropop,metropopolis,uk pop",0.543,0.808,-6.615,0.0632,0.0429
The Way I Want To Touch You,Captain & Tennille,Love Will Keep Us Together,Captain & Tennille,01/01/1975,163586,FALSE,35,"mellow gold,soft rock,yacht rock",0.664,0.585,-7.062,0.0248,0.624
Still Got Time (feat. PARTYNEXTDOOR),"ZAYN, PARTYNEXTDOOR",Still Got Time (feat. PARTYNEXTDOOR),ZAYN,23/03/2017,188490,FALSE,53,"pop,uk pop,r&b,rap,urban contemporary",0.748,0.627,-6.029,0.0639,0.131
Your Song,Rita Ora,Phoenix (Deluxe Edition),Rita Ora,23/11/2018,180160,FALSE,60,"dance pop,pop,uk pop",0.853,0.571,-5.845,0.0543,0.133
Fix You,Coldplay,X&Y,Coldplay,07/06/2005,295533,FALSE,83,"permanent wave,pop",0.209,0.417,-8.74,0.0338,0.164
There You'll Be - 2007 Remaster,Faith Hill,The Hits,Faith Hill,2007,220840,FALSE,44,"contemporary country,country,country dawn,country road",0.325,0.532,-7.208,0.0308,0.496
Every Breath You Take - Remastered 2003,The Police,Synchronicity,The Police,01/06/1983,253886,FALSE,3,"album rock,classic rock,permanent wave,rock",0.813,0.46,-9.78,0.0346,0.56
You're the Inspiration - 2009 Remaster,Chicago,Chicago 17 (Expanded Edition),Chicago,14/05/1984,229426,FALSE,39,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.578,0.606,-6.402,0.0282,0.377
"The Key, The Secret",Urban Cookie Collective,The Very Best Of,Urban Cookie Collective,2004,222666,FALSE,53,"diva house,eurodance,hip house",0.702,0.796,-6.99,0.0315,0.0759
Paradise City,Guns N' Roses,Appetite For Destruction,Guns N' Roses,21/07/1987,406306,FALSE,1,"glam metal,hard rock,rock",0.274,0.949,-8.642,0.0896,0.0214
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,Tonight I'm Yours - Expanded Edition,Rod Stewart,1981,251866,FALSE,42,"mellow gold,soft rock",0.68,0.826,-4.958,0.0671,0.0683
You Were On My Mind,We Five,The Very Best Of,We Five,01/03/2011,156640,FALSE,9,"bubblegum pop,classic garage rock,merseybeat",0.533,0.533,-7.92,0.064,0.293
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",19/04/2013,248413,FALSE,78,"electro,filter house,rock,dance pop,pop,disco",0.794,0.811,-8.966,0.038,0.0426
Party,Christine Anu,Stylin' Up,Christine Anu,1995,194533,FALSE,32,"australian indigenous music,australian pop,australian rock",0.734,0.923,-8.189,0.0561,0.0495
Riptide,Vance Joy,Dream Your Life Away,Vance Joy,05/09/2014,201733,FALSE,0,"folk-pop,modern rock",0.502,0.719,-6.649,0.0349,0.46
Heartaches By The Number,Guy Mitchell,Heartaches By The Number,Guy Mitchell,19/10/2009,153901,FALSE,8,deep adult standards,0.518,0.556,-13.264,0.0479,0.526
The Edge of Heaven,Wham!,Music From The Edge Of Heaven,Wham!,01/07/1986,270800,FALSE,50,"new romantic,new wave,new wave pop,soft rock",0.493,0.665,-13.817,0.0424,0.117
Should’ve Been Us,Tori Kelly,Unbreakable Smile,Tori Kelly,23/06/2015,186477,FALSE,0,"pop,post-teen pop",0.65,0.766,-5.443,0.119,0.00408
Clap Your Hands,Kungs,Clap Your Hands,Kungs,18/02/2022,189880,FALSE,59,"edm,pop dance,uk dance",0.878,0.875,-4.923,0.0658,0.0507
Good Clean Fun,The Monkees,"The Monkees Present: Micky, David & Michael",The Monkees,01/10/1969,135800,FALSE,12,"album rock,beatlesque,bubblegum pop,classic rock,folk rock,mellow gold,rock,rock-and-roll,singer-songwriter,soft rock,sunshine pop",0.582,0.836,-9.3,0.0559,0.129
Teach Me How to Fly,"Jeff St John, The Copperwine",70 Hits of the '70s,Various Artists,04/11/2016,248640,FALSE,10,hammond organ,0.466,0.82,-6.089,0.0689,0.0503
Together We Are One - Radio Mix,Delta Goodrem,Together We Are One,Delta Goodrem,01/04/2006,254626,FALSE,26,australian pop,0.455,0.621,-3.828,0.0294,0.0535
No Secrets,The Angels,Greatest Hits,The Angels,28/10/2011,258959,FALSE,0,australian rock,0.445,0.719,-5.147,0.0285,0.000163
All For You,Sister Hazel,...Somewhere More Familiar,Sister Hazel,01/01/1997,218706,FALSE,63,"neo mellow,pop rock,post-grunge",0.633,0.754,-6.497,0.0382,0.0316
Special,Garbage,Absolute Garbage,Garbage,23/07/2012,226493,FALSE,26,"alternative rock,dance rock,electronic rock,permanent wave",0.433,0.943,-4.467,0.0434,0.000014
Saturday Sun,Vance Joy,Nation of Two,Vance Joy,23/02/2018,214746,FALSE,0,"folk-pop,modern rock",0.628,0.869,-4.339,0.0489,0.497
Montego Bay,Bobby Bloom,The Bobby Bloom Album,Bobby Bloom,01/01/1970,176466,FALSE,39,,0.765,0.586,-10.332,0.0367,0.734
Your Power,Billie Eilish,Your Power,Billie Eilish,29/04/2021,245896,FALSE,0,"art pop,pop",0.634,0.285,-14.007,0.0807,0.937
